intern_id,course_id,rating,completion,time_spent
I025,C014,2,0,126
I025,C015,2,1,96
I025,C016,2,1,65
I025,C017,1,1,117
I025,C019,3,0,177
I025,C020,1,1,82
I026,C001,5,0,167
I026,C003,3,0,31
I026,C004,2,1,41
I026,C006,2,1,48
I026,C007,3,0,144
I026,C008,5,0,153
I026,C009,3,1,45
I026,C010,2,1,118
I026,C011,5,1,135
I026,C014,3,1,100
I026,C016,5,1,120
I026,C018,1,1,20
I026,C019,2,0,83
I027,C003,3,1,164
I027,C004,3,1,150
I027,C006,4,1,167
I027,C008,1,1,103
I027,C009,1,0,136
I027,C011,5,0,40
I027,C012,2,1,114
I027,C020,4,1,179
I028,C001,4,1,179
I028,C003,1,0,177
I028,C004,4,1,122
I028,C005,2,1,162
I028,C006,4,0,80
I028,C008,1,0,179
I028,C009,4,1,111
I028,C011,3,1,103
I028,C015,1,0,33
I028,C016,4,0,160
I028,C017,3,0,74
I028,C018,5,0,138
I028,C019,3,0,165
I029,C001,1,1,175
I029,C002,3,0,116
I029,C004,5,1,43
I029,C005,4,1,145
I029,C007,1,1,124
I029,C008,5,1,85
I029,C013,5,0,37
I029,C016,4,1,106
I029,C018,2,0,88
I029,C019,1,0,79
I029,C020,1,1,89
I030,C002,4,1,24
I030,C003,4,0,64
I030,C004,3,1,137
I030,C005,2,1,95
I030,C007,4,1,20
I030,C008,4,1,126
I030,C011,1,1,75
I030,C014,5,0,97
I030,C015,5,1,48
I030,C017,5,1,88
I030,C018,3,0,39
I031,C001,2,1,48
I031,C003,3,1,57
I031,C004,5,0,143
I031,C007,5,1,24
I031,C009,1,1,177
I031,C010,1,1,66
I031,C012,1,1,52
I031,C018,2,1,82
I031,C020,5,1,96
I032,C001,3,1,144
I032,C004,2,1,42
I032,C005,3,1,73
I032,C007,1,1,162
I032,C009,1,1,54
I032,C010,2,1,129
I032,C013,5,1,67
I032,C017,5,1,56
I032,C018,4,1,106
I033,C002,3,0,66
I033,C003,1,1,70
I033,C004,5,1,38
I033,C005,5,1,136
I033,C006,3,1,175
I033,C007,2,1,165
I033,C008,5,1,108
I033,C009,4,0,160
I033,C010,1,1,61
I033,C012,1,1,125
I033,C013,5,1,137
I033,C014,4,0,28
I033,C016,1,1,91
I033,C019,4,1,38
I034,C004,2,0,68
I034,C007,1,0,56
I034,C010,2,1,96
I034,C012,2,1,26
I034,C014,5,1,43
I034,C015,3,1,121
I034,C017,4,0,116
I034,C019,1,0,32
I034,C020,2,1,46
I035,C002,2,1,63
I035,C003,3,0,149
I035,C008,4,0,96
I035,C011,2,0,140
I035,C013,4,1,22
I035,C015,4,1,137
I035,C018,1,1,103
I035,C020,1,1,57
I036,C001,5,0,170
I036,C002,2,1,21
I036,C005,4,1,173
I036,C007,3,1,162
I036,C010,1,0,101
I036,C013,3,1,33
I036,C014,5,0,110
I036,C016,4,1,29
I036,C018,1,1,33
I036,C019,5,1,153
I036,C020,5,0,168
I037,C001,1,0,31
I037,C003,5,1,39
I037,C004,4,1,179
I037,C005,2,1,50
I037,C006,3,0,108
I037,C007,3,1,178
I037,C010,3,0,175
I037,C011,3,0,163
I037,C012,4,1,59
I037,C015,4,1,82
I037,C017,5,1,174
I037,C018,5,1,152
I037,C019,2,0,168
I037,C020,5,1,77
I038,C001,5,0,101
I038,C002,4,1,158
I038,C003,4,1,136
I038,C004,4,1,131
I038,C006,1,1,176
I038,C007,5,1,132
I038,C010,1,1,67
I038,C011,2,1,40
I038,C013,3,1,98
I038,C015,5,0,179
I038,C017,5,0,106
I038,C019,3,0,152
I038,C020,2,1,158
I039,C004,2,0,113
I039,C006,2,0,131
I039,C008,1,1,68
I039,C009,4,1,141
I039,C010,2,1,159
I039,C011,2,1,179
I039,C015,1,1,172
I039,C016,4,1,133
I039,C018,5,1,132
I039,C020,1,1,37
I040,C002,4,0,105
I040,C004,4,0,21
I040,C005,4,1,114
I040,C006,4,1,116
I040,C007,3,0,49
I040,C011,2,1,91
I040,C012,5,1,151
I040,C013,2,1,29
I040,C018,1,1,105
I041,C002,1,1,140
I041,C006,3,1,151
I041,C007,4,1,43
I041,C008,2,1,73
I041,C010,4,0,39
I041,C011,4,1,22
I041,C012,2,1,151
I041,C013,2,1,166
I041,C014,4,1,82
I041,C015,5,1,77
I041,C018,5,0,132
I041,C019,2,1,132
I042,C005,4,1,66
I042,C006,4,1,156
I042,C008,4,1,69
I042,C009,3,0,137
I042,C010,1,1,70
I042,C012,2,1,112
I042,C013,4,1,93
I042,C017,2,1,43
I042,C020,4,0,76
I043,C004,4,0,105
I043,C005,3,1,33
I043,C006,2,1,89
I043,C007,5,1,126
I043,C008,2,1,40
I043,C009,1,1,89
I043,C011,3,1,162
I043,C013,2,1,147
I043,C015,5,1,150
I043,C017,1,1,108
I043,C020,1,0,146
I044,C001,1,1,80
I044,C002,4,1,105
I044,C003,2,0,117
I044,C004,5,0,41
I044,C007,3,1,105
I044,C008,4,1,118
I044,C009,1,0,154
I044,C011,4,1,162
I044,C012,5,1,135
I044,C014,1,1,47
I044,C016,1,0,150
I044,C018,4,1,42
I044,C020,3,1,30
I045,C001,2,0,60
I045,C005,2,0,31
I045,C006,3,1,46
I045,C007,1,1,27
I045,C010,4,1,129
I045,C011,1,1,65
I045,C012,1,1,138
I045,C013,5,1,175
I045,C015,3,1,150
I045,C016,1,1,173
I045,C017,5,1,28
I045,C019,3,1,140
I045,C020,4,1,150
I046,C002,5,0,53
I046,C003,2,1,42
I046,C005,5,1,113
I046,C008,2,1,175
I046,C010,4,0,106
I046,C011,3,1,172
I046,C012,5,0,136
I046,C013,4,1,164
I046,C017,1,1,170
I046,C018,2,1,57
I046,C019,5,1,54
I046,C020,3,1,44
I047,C001,2,1,169
I047,C003,3,1,38
I047,C005,1,1,138
I047,C006,3,1,161
I047,C007,5,1,49
I047,C008,1,1,108
I047,C010,1,1,60
I047,C011,4,1,21
I047,C015,5,1,177
I047,C016,3,1,69
I047,C019,5,1,156
I048,C004,4,1,66
I048,C005,3,1,112
I048,C006,5,1,39
I048,C010,4,1,86
I048,C015,1,0,80
I048,C016,2,1,143
I048,C017,1,1,118
I048,C018,3,1,103
I048,C019,5,1,68
I048,C020,3,1,116
I049,C001,5,1,81
I049,C002,1,1,56
I049,C003,1,0,70
I049,C006,3,0,158
I049,C007,5,1,127
I049,C011,5,1,64
I049,C016,5,1,103
I049,C018,1,1,101
I049,C019,4,1,132
I049,C020,2,1,60
I050,C004,3,1,161
I050,C010,2,1,150
I050,C011,2,0,31
I050,C012,1,0,120
I050,C013,1,0,172
I050,C018,3,0,92
I050,C019,2,1,127
